ID,PDB_file,image,Fasta,Uniprot_id
SEQSTR212,,,,P00441
SEQSTR213,,,,P00441
SEQSTR214,,,,P00441
SEQSTR215,,,,P00441
SEQSTR216,,,,P00441
SEQSTR217,,,,P00441
SEQSTR218,,,,P00441
SEQSTR219,,,,P00441
SEQSTR220,,,,P00441
SEQSTR221,,,,P00441
SEQSTR222,,,,P00441
SEQSTR223,,,,P00441
SEQSTR224,,,,P00441
SEQSTR225,,,,P00441
SEQSTR226,,,,P00441
SEQSTR227,,,,P00441
SEQSTR228,,,,P00441
SEQSTR229,,,,P00441
SEQSTR230,,,,P00441
SEQSTR231,,,,P00441
SEQSTR232,,,,P00441
SEQSTR233,,,,P00441
SEQSTR234,,,,P00441
SEQSTR235,,,,P00441
SEQSTR236,,,,P00441
SEQSTR237,,,,P00441
SEQSTR238,,,,P00441
SEQSTR239,,,,P00441
SEQSTR240,,,,P00441
SEQSTR241,,,,P00441
SEQSTR242,,,,P00441
SEQSTR243,,,,P00441
SEQSTR244,,,,P00441
SEQSTR245,,,,P00441
SEQSTR246,,,,P00441
SEQSTR247,,,,P00441
SEQSTR248,,,,P00441
SEQSTR249,,,,P00441
SEQSTR250,,,,P00441
SEQSTR251,,,,P00441
SEQSTR252,,,,P00441
SEQSTR253,,,,P00441
SEQSTR254,,,,P00441
SEQSTR255,,,,P00441
SEQSTR256,,,,P00441
SEQSTR257,,,,P00441
SEQSTR258,,,,P00441
SEQSTR259,,,,P00441
SEQSTR260,,,,P00441
SEQSTR261,,,,P00441
SEQSTR262,,,,P00441
SEQSTR263,,,,P00441
SEQSTR264,,,,P00441
SEQSTR265,,,,P00441
SEQSTR266,,,,P00441
SEQSTR267,,,,P00441
SEQSTR268,,,,P00441
SEQSTR269,,,,P00441
SEQSTR270,,,,P00441
SEQSTR271,,,,P00441
SEQSTR272,,,,P00441
SEQSTR273,,,,P00441
SEQSTR274,,,,P00441
SEQSTR275,,,,P00441
SEQSTR276,,,,P00441
SEQSTR277,,,,P00441
SEQSTR278,,,,P00441
SEQSTR279,,,,P00441
SEQSTR280,,,,P00441
SEQSTR281,,,,P00441
SEQSTR282,,,,P00441
SEQSTR283,,,,P00441
SEQSTR284,,,,P00441
SEQSTR285,,,,P00441
SEQSTR286,,,,P00441
SEQSTR287,,,,P00441
SEQSTR288,,,,P00441
SEQSTR289,,,,P00441
SEQSTR290,,,,P00441
SEQSTR291,,,,P00441
SEQSTR292,,,,P00441
SEQSTR293,,,,P00441
SEQSTR294,,,,P00441
SEQSTR295,,,,P00441
SEQSTR296,,,,P00441
SEQSTR297,,,,P00441
SEQSTR298,,,,P00441
SEQSTR299,,,,P00441
SEQSTR300,,,,P00441
SEQSTR301,,,,P00441
SEQSTR302,,,,P00441
SEQSTR303,,,,P00441
SEQSTR304,,,,P00441
SEQSTR305,,,,P00441
SEQSTR306,,,,P00441
SEQSTR307,,,,P00441
SEQSTR308,,,,P00441
SEQSTR309,,,,P00441
SEQSTR310,,,,P00441
SEQSTR311,,,,P00441
SEQSTR312,,,,P00441
SEQSTR313,,,,P00441
SEQSTR314,,,,P00441
SEQSTR315,,,,P00441
SEQSTR316,,,,P00441
SEQSTR317,,,,P00441
SEQSTR318,,,,P00441
SEQSTR319,,,,P00441
SEQSTR320,,,,P00441
SEQSTR321,,,,P00441
SEQSTR322,,,,P00441
SEQSTR323,,,,P00441
SEQSTR324,,,,P00441
SEQSTR325,,,,P00441
SEQSTR326,,,,P00441
SEQSTR327,,,,P00441
SEQSTR328,,,,P00441
SEQSTR329,,,,P00441
SEQSTR330,,,,P00441
SEQSTR331,,,,P00441
SEQSTR332,,,,P00441
SEQSTR333,,,,P00441
SEQSTR334,,,,P00441
SEQSTR335,,,,P00441
SEQSTR336,,,,P00441
SEQSTR337,,,,P00441
SEQSTR338,,,,P00441
SEQSTR339,,,,P00441
SEQSTR340,,,,P00441
SEQSTR341,,,,P00441
SEQSTR342,,,,P00441
SEQSTR343,,,,P00441
SEQSTR344,,,,P00441
SEQSTR345,,,,P00441
SEQSTR346,,,,P00441
SEQSTR347,,,,P00441
SEQSTR348,,,,P00441
SEQSTR349,,,,P00441
SEQSTR350,,,,P00441
SEQSTR351,,,,P00441
SEQSTR352,,,,P00441
SEQSTR353,,,,P00441
SEQSTR354,,,,P00441
SEQSTR355,,,,P00441
SEQSTR356,,,,P00441
SEQSTR357,,,,P00441
SEQSTR358,,,,P00441
SEQSTR359,,,,P00441
SEQSTR360,,,,P00441
SEQSTR361,,,,P00441
SEQSTR362,,,,P00441
SEQSTR363,,,,P00441
SEQSTR364,,,,P00441
SEQSTR365,,,,P00441
SEQSTR366,,,,P00441
SEQSTR367,,,,P00441
SEQSTR368,,,,P00441
SEQSTR369,,,,P00441
SEQSTR370,,,,P00441
SEQSTR371,,,,P00441
SEQSTR372,,,,P00441
SEQSTR373,,,,P00441
SEQSTR374,,,,P00441
SEQSTR375,,,,P00441
