ProteinsSNPsClinicalCases_id,ClinicalCases_id,SNPsDescription_id,WildTypeProteinDescription_id
PSNPCC137,137,SNPD137,WTPTN137
PSNPCC138,138,SNPD138,WTPTN138
PSNPCC139,139,SNPD139,WTPTN139
PSNPCC140,140,SNPD140,WTPTN140
PSNPCC141,141,SNPD141,WTPTN141
PSNPCC142,142,SNPD142,WTPTN142
PSNPCC143,143,SNPD143,WTPTN143
PSNPCC144,144,SNPD144,WTPTN144
PSNPCC145,145,SNPD145,WTPTN145
PSNPCC146,146,SNPD146,WTPTN146
PSNPCC147,147,SNPD147,WTPTN147
PSNPCC148,148,SNPD148,WTPTN148
PSNPCC149,149,SNPD149,WTPTN149
PSNPCC150,150,SNPD150,WTPTN150
PSNPCC151,151,SNPD151,WTPTN151
PSNPCC152,152,SNPD152,WTPTN152
PSNPCC153,153,SNPD153,WTPTN153
PSNPCC154,154,SNPD154,WTPTN154
PSNPCC155,155,SNPD155,WTPTN155
PSNPCC156,156,SNPD156,WTPTN156
PSNPCC157,157,SNPD157,WTPTN157
PSNPCC158,158,SNPD158,WTPTN158
PSNPCC159,159,SNPD159,WTPTN159
PSNPCC160,160,SNPD160,WTPTN160
PSNPCC161,161,SNPD161,WTPTN161
PSNPCC162,162,SNPD162,WTPTN162
PSNPCC163,163,SNPD163,WTPTN163
PSNPCC164,164,SNPD164,WTPTN164
PSNPCC165,165,SNPD165,WTPTN165
PSNPCC166,166,SNPD166,WTPTN166
PSNPCC167,167,SNPD167,WTPTN167
PSNPCC168,168,SNPD168,WTPTN168
PSNPCC169,169,SNPD169,WTPTN169
PSNPCC170,170,SNPD170,WTPTN170
PSNPCC171,171,SNPD171,WTPTN171
PSNPCC172,172,SNPD172,WTPTN172
PSNPCC173,173,SNPD173,WTPTN173
PSNPCC174,174,SNPD174,WTPTN174
PSNPCC175,175,SNPD175,WTPTN175
PSNPCC176,176,SNPD176,WTPTN176
PSNPCC177,177,SNPD177,WTPTN177
PSNPCC178,178,SNPD178,WTPTN178
PSNPCC179,179,SNPD179,WTPTN179
PSNPCC180,180,SNPD180,WTPTN180
PSNPCC181,181,SNPD181,WTPTN181
PSNPCC182,182,SNPD182,WTPTN182
PSNPCC183,183,SNPD183,WTPTN183
PSNPCC184,184,SNPD184,WTPTN184
PSNPCC185,185,SNPD185,WTPTN185
PSNPCC186,186,SNPD186,WTPTN186
PSNPCC187,187,SNPD187,WTPTN187
PSNPCC188,188,SNPD188,WTPTN188
PSNPCC189,189,SNPD189,WTPTN189
PSNPCC190,190,SNPD190,WTPTN190
PSNPCC191,191,SNPD191,WTPTN191
PSNPCC192,192,SNPD192,WTPTN192
PSNPCC193,193,SNPD193,WTPTN193
PSNPCC194,194,SNPD194,WTPTN194
PSNPCC195,195,SNPD195,WTPTN195
PSNPCC196,196,SNPD196,WTPTN196
PSNPCC197,197,SNPD197,WTPTN197
PSNPCC198,198,SNPD198,WTPTN198
PSNPCC199,199,SNPD199,WTPTN199
PSNPCC200,200,SNPD200,WTPTN200
PSNPCC201,201,SNPD201,WTPTN201
PSNPCC202,202,SNPD202,WTPTN202
PSNPCC203,203,SNPD203,WTPTN203
PSNPCC204,204,SNPD204,WTPTN204
PSNPCC205,205,SNPD205,WTPTN205
PSNPCC206,206,SNPD206,WTPTN206
PSNPCC207,207,SNPD207,WTPTN207
PSNPCC208,208,SNPD208,WTPTN208
PSNPCC209,209,SNPD209,WTPTN209
PSNPCC210,210,SNPD210,WTPTN210
PSNPCC211,211,SNPD211,WTPTN211
PSNPCC212,212,SNPD212,WTPTN212
PSNPCC213,213,SNPD213,WTPTN213
PSNPCC214,214,SNPD214,WTPTN214
PSNPCC215,215,SNPD215,WTPTN215
PSNPCC216,216,SNPD216,WTPTN216
PSNPCC217,217,SNPD217,WTPTN217
PSNPCC218,218,SNPD218,WTPTN218
PSNPCC219,219,SNPD219,WTPTN219
PSNPCC220,220,SNPD220,WTPTN220
PSNPCC221,221,SNPD221,WTPTN221
PSNPCC222,222,SNPD222,WTPTN222
PSNPCC223,223,SNPD223,WTPTN223
PSNPCC224,224,SNPD224,WTPTN224
PSNPCC225,225,SNPD225,WTPTN225
PSNPCC226,226,SNPD226,WTPTN226
PSNPCC227,227,SNPD227,WTPTN227
PSNPCC228,228,SNPD228,WTPTN228
PSNPCC229,229,SNPD229,WTPTN229
PSNPCC230,230,SNPD230,WTPTN230
PSNPCC231,231,SNPD231,WTPTN231
PSNPCC232,232,SNPD232,WTPTN232
PSNPCC233,233,SNPD233,WTPTN233
PSNPCC234,234,SNPD234,WTPTN234
PSNPCC235,235,SNPD235,WTPTN235
PSNPCC236,236,SNPD236,WTPTN236
PSNPCC237,237,SNPD237,WTPTN237
PSNPCC238,238,SNPD238,WTPTN238
PSNPCC239,239,SNPD239,WTPTN239
PSNPCC240,240,SNPD240,WTPTN240
PSNPCC241,241,SNPD241,WTPTN241
PSNPCC242,242,SNPD242,WTPTN242
PSNPCC243,243,SNPD243,WTPTN243
PSNPCC244,244,SNPD244,WTPTN244
PSNPCC245,245,SNPD245,WTPTN245
PSNPCC246,246,SNPD246,WTPTN246
PSNPCC247,247,SNPD247,WTPTN247
PSNPCC248,248,SNPD248,WTPTN248
PSNPCC249,249,SNPD249,WTPTN249
PSNPCC250,250,SNPD250,WTPTN250
PSNPCC251,251,SNPD251,WTPTN251
PSNPCC252,252,SNPD252,WTPTN252
PSNPCC253,253,SNPD253,WTPTN253
PSNPCC254,254,SNPD254,WTPTN254
PSNPCC255,255,SNPD255,WTPTN255
PSNPCC256,256,SNPD256,WTPTN256
PSNPCC257,257,SNPD257,WTPTN257
PSNPCC258,258,SNPD258,WTPTN258
PSNPCC259,259,SNPD259,WTPTN259
PSNPCC260,260,SNPD260,WTPTN260
PSNPCC261,261,SNPD261,WTPTN261
PSNPCC262,262,SNPD262,WTPTN262
PSNPCC263,263,SNPD263,WTPTN263
PSNPCC264,264,SNPD264,WTPTN264
PSNPCC265,265,SNPD265,WTPTN265
PSNPCC266,266,SNPD266,WTPTN266
PSNPCC267,267,SNPD267,WTPTN267
PSNPCC268,268,SNPD268,WTPTN268
PSNPCC269,269,SNPD269,WTPTN269
PSNPCC270,270,SNPD270,WTPTN270
PSNPCC271,271,SNPD271,WTPTN271
PSNPCC272,272,SNPD272,WTPTN272
PSNPCC273,273,SNPD273,WTPTN273
PSNPCC274,274,SNPD274,WTPTN274
PSNPCC275,275,SNPD275,WTPTN275
PSNPCC276,276,SNPD276,WTPTN276
PSNPCC277,277,SNPD277,WTPTN277
PSNPCC278,278,SNPD278,WTPTN278
PSNPCC279,279,SNPD279,WTPTN279
PSNPCC280,280,SNPD280,WTPTN280
PSNPCC281,281,SNPD281,WTPTN281
PSNPCC282,282,SNPD282,WTPTN282
PSNPCC283,283,SNPD283,WTPTN283
PSNPCC284,287,SNPD284,WTPTN284
PSNPCC285,288,SNPD285,WTPTN285
PSNPCC286,289,SNPD286,WTPTN286
PSNPCC287,290,SNPD287,WTPTN287
PSNPCC288,291,SNPD288,WTPTN288
PSNPCC289,292,SNPD289,WTPTN289
PSNPCC290,293,SNPD290,WTPTN290
PSNPCC291,294,SNPD291,WTPTN291
PSNPCC292,295,SNPD292,WTPTN292
PSNPCC293,296,SNPD293,WTPTN293
PSNPCC294,297,SNPD294,WTPTN294
PSNPCC295,298,SNPD295,WTPTN295
PSNPCC296,299,SNPD296,WTPTN296
PSNPCC297,300,SNPD297,WTPTN297
PSNPCC298,301,SNPD298,WTPTN298
PSNPCC299,302,SNPD299,WTPTN299
PSNPCC300,303,SNPD300,WTPTN300
PSNPCC301,304,SNPD301,WTPTN301
